,product_data_storage,csat_score,articles_viewed,smartphone_notifications_viewed,marketing_emails_clicked,social_media_ads_viewed,minutes_customer_support,months_active,churned,product_travel_expense_Free-Trial,product_travel_expense_No,product_payroll_Free-Trial,product_payroll_No,product_accounting_Free-Trial,product_accounting_No,us_region_East South Central,us_region_Middle Atlantic,us_region_Mountain,us_region_New England,us_region_Pacific,us_region_South Atlantic,us_region_West North Central,us_region_West South Central,company_size_10-50,company_size_100-250,company_size_50-100,company_size_self-employed
0,2048,9,4,0,14,1,8.3,3.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,2048,9,4,2,12,1,0.0,2.0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,2048,9,3,2,17,1,0.0,7.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,500,10,0,0,14,0,0.0,8.0,1.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
4,5120,8,5,0,17,0,0.0,7.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2048,9,4,0,17,1,0.0,2.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,500,10,6,0,12,2,0.0,3.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7,500,9,6,0,13,1,5.6,2.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8,1024,9,5,1,20,0,0.0,3.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9,1024,10,3,1,16,0,0.0,4.0,1.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
10,200,7,1,1,19,0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,1024,8,14,0,20,0,0.0,4.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,500,10,4,1,21,0,0.0,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13,2048,10,5,0,18,0,0.0,5.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,1024,7,5,0,19,0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,2048,10,4,0,12,0,12.2,7.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
16,500,9,3,1,15,1,0.0,5.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
17,2048,9,3,1,15,1,0.0,2.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
18,2048,9,7,1,13,1,0.0,4.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
19,1024,10,6,0,16,0,1.9,5.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
20,2048,10,3,0,19,0,13.8,7.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,500,8,4,0,16,1,0.0,4.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
22,1024,9,4,1,15,1,0.0,3.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,1024,10,6,0,17,0,0.0,5.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,1024,10,4,0,9,0,0.0,5.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
25,500,10,4,0,13,0,0.0,2.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
26,1024,7,3,1,12,0,0.0,1.0,1.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
27,1024,10,4,2,21,1,8.5,3.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
28,2048,9,1,0,16,0,0.0,4.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,1024,9,4,0,14,1,5.4,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,2048,10,5,1,17,2,0.0,11.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
31,2048,9,4,0,8,0,0.0,4.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,2048,8,9,0,19,0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,500,8,4,0,15,0,0.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2048,9,3,1,19,0,0.0,2.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
35,1024,10,7,1,14,0,0.0,3.0,1.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
36,2048,9,3,0,16,0,0.0,5.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,1024,9,3,0,15,0,0.0,2.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
38,1024,10,4,1,12,0,0.0,7.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,500,10,0,0,18,1,0.0,3.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
40,5120,8,4,0,21,1,0.0,3.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
41,2048,9,3,1,16,1,5.6,3.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,1024,9,4,0,15,0,0.0,5.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,1024,9,3,0,15,0,0.0,2.0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
44,1024,9,6,1,21,0,0.0,1.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
45,200,9,5,0,19,1,0.0,6.0,1.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
46,2048,8,7,0,18,0,2.2,3.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,500,9,3,0,17,0,13.1,3.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,1024,10,4,1,13,0,0.0,5.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
49,1024,10,4,1,13,1,6.4,4.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
50,200,9,4,1,16,0,0.0,7.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,200,8,3,0,17,0,28.7,2.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
52,500,9,4,0,13,0,28.8,2.0,1.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
53,1024,10,2,0,15,0,0.0,8.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
54,2048,8,3,0,15,0,0.0,4.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
55,1024,8,5,0,11,0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
56,5120,9,5,0,18,1,0.0,8.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,1024,10,3,2,15,0,0.0,4.0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
58,5120,9,3,0,12,1,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
59,500,7,3,0,22,0,0.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
60,5120,10,5,0,11,0,0.0,11.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,1024,10,2,0,22,0,0.0,4.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
62,1024,8,6,0,13,2,0.0,3.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
